step,class 1,class 2,class 3,class 4,class 5
1,62441,62442,62448,62456,65013
2,62449,62453,62455,64557,67950
3,62457,63636,64099,67467,71010
4,66027,66499,66979,70493,74198
5,68997,69496,69994,73678,77537
6,72096,72618,73127,76988,81037
7,75354,75880,76427,80451,84664
8,78722,79304,79866,84079,88493
9,78722,82872,83461,87850,92479
10,78722,86614,87211,91812,96634
11,78722,86614,91140,95939,100991
12,78722,86614,91140,100248,105527
13,78722,86614,91140,100248,105527
14,78722,86614,91140,100248,105527
15,78722,86614,91140,100248,105527
16,80737,88624,93155,102264,108586
17,80737,88624,93155,102264,108586
18,80737,88624,93155,102264,108586
19,80737,88624,93155,102264,108586
20,80737,88624,93155,102264,108586
21,82753,90638,95173,104277,111646
22,82753,90638,95173,104277,111646
23,82753,90638,95173,104277,111646
24,82753,90638,95173,104277,111646
25,82753,90638,95173,104277,111646
26,84765,92653,97182,106293,114967
27,84765,92653,97182,106293,114967
28,84765,92653,97182,106293,114967
29,84765,92653,97182,106293,114967
30,84765,92653,97182,106293,114967
31,93435,101323,105853,114962,118520
32,93435,101323,105853,114962,118520
33,93435,101323,105853,114962,118520
34,93435,101323,105853,114962,118520
35,93435,101323,105853,114962,118520
36,96990,104876,109405,118516,122073